code,product_name,shop_category_db,coverage_category,substance,family_slug,research_slug,variant,lexicon_profile_required,mapping_unique,status,reason
SW50,STANOZOLol (Water) winstrol,INJECTABLES-OILS,OILS / INJECTABLES,STANOZOLOL (Water) winstrol,stanozolol-water,,50mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
T20,Tamoxifen (Nolvadex),ORALS,ORALS,Tamoxifen (Nolvadex),tamoxifen,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
T500,Tesofensine,ORALS,ORALS,Tesofensine,tesofensine,,500mcg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
T600,Testo 600mg,INJECTABLES-OILS,OILS / INJECTABLES,Testo 600mg,testosterone-600,,600mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TA10,Thymosin Alpha-1,PEPTIDES,PEPTIDES,Thymosin Alpha-1,thymosin-alpha-1,thymosin-alpha-1,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TA5,Thymosin Alpha-1,PEPTIDES,PEPTIDES,Thymosin Alpha-1,thymosin-alpha-1,thymosin-alpha-1,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TE250,TEST ENANTHATE,INJECTABLES-OILS,OILS / INJECTABLES,TEST ENANTHATE,testosterone-enanthate,,250mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TE300,TEST ENANTHATE,INJECTABLES-OILS,OILS / INJECTABLES,TEST ENANTHATE,testosterone-enanthate,,300mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TER10,Teriparatide,PEPTIDES,PEPTIDES,Teriparatide,teriparatide,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TG20,Testagen,PEPTIDES,PEPTIDES,Testagen,testagen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TI18,Tesamorelin 12mg+Ipamorelin 6mg,PEPTIDES,BLENDS,Tesamorelin 12mg+Ipamorelin 6mg,tesamorelin-ipamorelin-blend,,18mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend.
TM40,Telmisartan,ORALS,ORALS,Telmisartan,telmisartan,,40mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TR10,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,10mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR100,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,100mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR120,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,120mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR15,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,15mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR20,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,20mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR30,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,30mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR40,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,40mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR5,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,5mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR50,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,50mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR500,Tirzepatide,ORALS,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,500mcg x 25tablets,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TR60,Tirzepatide,PEPTIDES,PEPTIDES,Tirzepatide,tirzepatide,tirzepatide,60mg/vial x 10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TSM10,Tesamorelin,PEPTIDES,PEPTIDES,Tesamorelin,tesamorelin,tesamorelin,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TSM20,Tesamorelin,PEPTIDES,PEPTIDES,Tesamorelin,tesamorelin,tesamorelin,20mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TSM5,Tesamorelin,PEPTIDES,PEPTIDES,Tesamorelin,tesamorelin,tesamorelin,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
TY10,Thymalin,PEPTIDES,PEPTIDES,Thymalin,thymalin,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
TY300,TEST Undecanoate 300,INJECTABLES-OILS,OILS / INJECTABLES,TEST Undecanoate 300,testosterone-undecanoate,,300mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
U200,BU (EQUIPOISE),INJECTABLES-OILS,OILS / INJECTABLES,BU (EQUIPOISE),boldenone-undecylenate,,200mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
U300,BU (EQUIPOISE),INJECTABLES-OILS,OILS / INJECTABLES,BU (EQUIPOISE),boldenone-undecylenate,,300mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
U600,BU (EQUIPOISE),INJECTABLES-OILS,OILS / INJECTABLES,BU (EQUIPOISE),boldenone-undecylenate,,600mg,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
VE20,Vesugen,PEPTIDES,PEPTIDES,Vesugen,vesugen,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
VI20,Vilon,PEPTIDES,PEPTIDES,Vilon,vilon,,20mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
VP10,VIP,PEPTIDES,PEPTIDES,VIP,vip,,10mg/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
W10,Winstrol (Stanozolol),ORALS,ORALS,Winstrol (Stanozolol),stanozolol-oral,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
W20,Winstrol (Stanozolol),ORALS,ORALS,Winstrol (Stanozolol),stanozolol-oral,,20mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
W50,Winstrol (Stanozolol),ORALS,ORALS,Winstrol (Stanozolol),stanozolol-oral,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
X10,ANAVAR,ORALS,ORALS,ANAVAR,oxandrolone,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
X25,ANAVAR,ORALS,ORALS,ANAVAR,oxandrolone,,25mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
X50,ANAVAR,ORALS,ORALS,ANAVAR,oxandrolone,,50mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
XA10,Semax,PEPTIDES,PEPTIDES,Semax,semax,semax,10mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
XA30,Semax,PEPTIDES,PEPTIDES,Semax,semax,semax,30mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
XA5,Semax,PEPTIDES,PEPTIDES,Semax,semax,semax,5mg/vial x10vials,ja,ja,COMPLETE,Sicher der vorhandenen Research-Identität zugeordnet.
XS20,Semax 10mg+Selank 10mg,PEPTIDES,BLENDS,Semax 10mg+Selank 10mg,semax-selank-blend,,20mg/vial x10vials,ja,nein,REVIEW_REQUIRED,Two-substance blend.
XT100,Botulinum toxin,PEPTIDES,SONSTIGE,Botulinum toxin,botulinum-toxin,,100iu/vial x10vials,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
Y1,YK11,ORALS,ORALS,YK11,yk11,,10mg x 100tablets,ja,ja,PARTIAL,Identifizierbarer Katalogeintrag ohne vollständiges wissenschaftliches Profil.
